кто	дата	счет	статья	сумма	примечания	остаток после					счета		
Л	15.02.2016	кошелек.Л	продукты	-170,00	мыло, сигареты	4 735,00	2016.2						
В	15.02.2016	карта зарпл.В	еда.обед	-300,00	обед	3 266,59	2016.2						
Л	15.02.2016	кошелек.Л	еда.обед	-195,00	обед и плюшечка	4 540,00	2016.2						
Л	15.02.2016	кошелек.Л	отдал члену семьи	-500,00	Варе на взнос подарки	4 040,00	2016.2						
Л	15.02.2016	кошелек.Л	продукты	-50,00	Хлеб	3 990,00	2016.2						
Л	15.02.2016	кошелек.Л	продукты	-670,00	конфеты, кофе	3 320,00	2016.2						
Л	16.02.2016	кошелек.Л	кофе	-150,00	вкуснятина	3 170,00	2016.2						
Л	16.02.2016	кошелек.Л	отдал члену семьи	-800,00	Варя англ.язык	2 370,00	2016.2						
Л	16.02.2016	кошелек.Л	транспорт	-70,00	маршрутка	2 300,00	2016.2						
Л	16.02.2016	кошелек.Л	сигареты	-90,00		2 210,00	2016.2						
Л	16.02.2016	кошелек.Л	еда.обед	-300,00		1 910,00	2016.2						
В	16.02.2016	карта зарпл.В	продукты	-1 271,00		1 995,59	2016.2						
В	16.02.2016	карта зарпл.В	еда.обед	-305,00		1 995,59	2016.2						
Л	17.02.2016	кошелек.Л	кофе	-99,00	кофе	1 811,00	2016.2						
Л	17.02.2016	кошелек.Л	аптека	-500,00	витамины, ринопронт	1 311,00	2016.2						
Л	17.02.2016	кошелек.Л	еда.обед	-250,00	обед, плюшечка	1 061,00	2016.2						
В	17.02.2016	карта зарпл.В	еда.обед	-295,00		1 395,59	2016.2						
Л	18.02.2016	кошелек.Л	кофе	-150,00		911,00	2016.2						
Л	18.02.2016	кошелек.Л	еда.обед	-90,00		821,00	2016.2						
Л	18.02.2016	кошелек.Л	сигареты	-85,00		736,00	2016.2						
В	18.02.2016	карта зарпл.В	еда.обед	-305,00		1 090,59	2016.2						
Л	18.02.2016	сбер.вклад	перевод	-10 000,00		791 102,13	2016.2						
Л	18.02.2016	кошелек.Л	перевод	10 000,00	со вклада	10 736,00	2016.2						
Л	18.02.2016	кошелек.Л	Авон	-4 600,00	авон на подарки	6 136,00	2016.2						
Л	18.02.2016	кошелек.Л	аптека	-184,00	кетанол	5 952,00	2016.2						
Л	18.02.2016	кошелек.Л	продукты	-1 200,00	орехи, овощи, фрукты	4 752,00	2016.2						
Л	18.02.2016	кошелек.Л	красота	-1 550,00	маникюр, шелак	3 202,00	2016.2						
Л	19.02.2016	кошелек.Л	кофе	-160,00	кофе	3 042,00	2016.2						
Л	19.02.2016	кошелек.Л	еда.обед	-90,00	обед	2 952,00	2016.2						
Л	19.02.2016	кошелек.Л	сигареты	-90,00	сигареты	2 862,00	2016.2						
Л	19.02.2016	кошелек.Л	еда.обед	-60,00	печенье	2 802,00	2016.2						
В	19.02.2016	карта зарпл.В	еда.обед	-300,00		790,59	2016.2						
Л	19.02.2016	кошелек.Л	еда.обед	-180,00	обед	2 622,00	2016.2						
В	20.02.2016	карта зарпл.В	зарплата	30 000,00		30 790,59	2016.2						
В	20.02.2016	карта зарпл.В	перевод	-5 000,00		25 790,59	2016.2						
Л	20.02.2016	кошелек.Л	перевод	5 000,00		7 622,00	2016.2						
В	20.02.2016	карта зарпл.В	развлеченья	-4 600,00	МУЖЧИНЫ и ЖЕНЩИНЫ (16.04.2016 19:30)	21 190,59	2016.2						
Л	20.02.2016	кошелек.Л	здоровье	-3 800,00	лечение зуба	3 822,00	2016.2						
Л	20.02.2016	кошелек.Л	транспорт	-70,00	маршрутка	3 752,00	2016.2						
Л	20.02.2016	кошелек.Л	продукты	-270,00	фрукты Варе	3 482,00	2016.2						
Л	20.02.2016	кошелек.Л	еда.обед	-90,00	бутерюрод	3 392,00	2016.2						
В	21.02.2016	карта зарпл.В	авто.топливо	-499,85		20 690,74	2016.2						
В	21.02.2016	карта зарпл.В	ресторан	-1 249,00	обед, икеа	19 441,74	2016.2						
В	21.02.2016	карта зарпл.В	продукты	-9 564,48	метро	9 877,26	2016.2						
В	23.02.2016	карта зарпл.В	вещи	-4 603,00	насос, замок	5 274,26	2016.2						
В	24.02.2016	карта зарпл.В	перевод	-500,00		4 774,26	2016.2						
Л	24.02.2016	карта старая.В	перевод	500,00		631,47	2016.2						
В	24.02.2016	карта зарпл.В	еда.обед	-305,00		4 469,26	2016.2						
В	25.02.2016	карта зарпл.В	еда.обед	-300,00		4 169,26	2016.2						
В	25.02.2016	карта зарпл.В	спортзал	-600,00	зал, сдача экзамена	3 569,26	2016.2						
В	27.02.2016	карта зарпл.В	продукты	-653,50	молочка, салат	2 915,76	2016.2						
В	26.02.2016	карта зарпл.В	продукты	-172,00	кефир, хлеб	2 743,76	2016.2						
В	28.02.2016	карта зарпл.В	перевод	-2 000,00		743,76	2016.2						
В	28.02.2016	кошелек.В	перевод	2 000,00		2 200,00	2016.2						
В	28.02.2016	кошелек.В	красота	-250,00	парикмахерская	1 950,00	2016.2						
В	28.02.2016	кошелек.В	подарки	-1 550,00	цветы	400,00	2016.2						
В	28.02.2016	карта зарпл.В	подарки	-549,00	торт	194,76	2016.2						
В	28.02.2016	кошелек.Л	перевод	-2 000,00		1 392,00	2016.2						
В	28.02.2016	кошелек.В	перевод	2 000,00		2 400,00	2016.2						
В	28.02.2016	кошелек.В	продукты	-50,00	хлеб	2 350,00	2016.2						
В	28.02.2016	карта зарпл.В	связь	-155,00	мегафон	39,76	2016.2						
Л	28.02.2016	кошелек.Л	зарплата	46 000,00	Аванс за январь	47 392,00	2016.2						
